iter	RMSE
0	13.81657372
1	13.36519303
2	12.93427951
3	12.50257083
4	12.10128369
5	11.78643013
6	11.40046767
7	11.03743337
8	10.69328464
9	10.37504353
10	10.04426073
11	9.726027123
12	9.41752046
13	9.125297881
14	8.835729029
15	8.581505247
16	8.325446191
17	8.095226891
18	7.85524606
19	7.62231454
20	7.411098833
21	7.19470209
22	6.98609447
23	6.791619883
24	6.604980212
25	6.417939338
26	6.24634409
27	6.072993305
28	5.912303566
29	5.75054112
30	5.604613597
31	5.453084445
32	5.308887072
33	5.176709973
34	5.049690973
35	4.923447266
36	4.813996505
37	4.694660278
38	4.60265607
39	4.504697835
40	4.404276077
41	4.309238173
42	4.214971126
43	4.146884211
44	4.056573884
45	3.972794
46	3.892808115
47	3.81756707
48	3.749262862
49	3.685254466
50	3.618880754
51	3.554618642
52	3.492884448
53	3.439739808
54	3.388098682
55	3.337832109
56	3.28316407
57	3.239328764
58	3.190486861
59	3.145758237
60	3.113633449
61	3.070768151
62	3.032075313
63	2.989821309
64	2.954013537
65	2.917476332
66	2.884343842
67	2.852266852
68	2.820089501
69	2.792856835
70	2.764836662
71	2.737960945
72	2.714349176
73	2.688105078
74	2.665784679
75	2.642742769
76	2.620618677
77	2.604429451
78	2.585198416
79	2.563140388
80	2.546149488
81	2.527307651
82	2.509417762
83	2.495291174
84	2.482496982
85	2.467555711
86	2.453554067
87	2.439601364
88	2.427422953
89	2.415887361
90	2.403612264
91	2.393328081
92	2.381702305
93	2.370290054
94	2.358578509
95	2.350011819
96	2.341151757
97	2.334040848
98	2.324526491
99	2.318184139
100	2.312234569
101	2.306843202
102	2.300083452
103	2.29354842
104	2.285840873
105	2.280457837
106	2.274993745
107	2.268023463
108	2.261823806
109	2.255653631
110	2.250380001
111	2.245953994
112	2.241475613
113	2.236713911
114	2.231326622
115	2.227612865
116	2.223380241
117	2.220574073
118	2.21625149
119	2.212235166
120	2.206450277
121	2.202151084
122	2.199457667
123	2.195688652
124	2.192776577
125	2.189557797
126	2.187615428
127	2.185403102
