iter	Passed	Remaining
0	2	2577
1	5	2496
2	7	2447
3	10	2526
4	12	2585
5	13	2250
6	14	2105
7	17	2120
8	19	2158
9	20	2059
10	23	2089
11	25	2084
12	27	2077
13	29	2069
14	31	2056
15	33	2086
16	36	2104
17	37	2052
18	40	2074
19	42	2091
20	44	2075
21	47	2104
22	49	2115
23	52	2120
24	54	2112
25	56	2103
26	57	2081
27	59	2070
28	60	2039
29	61	2004
30	64	2000
31	65	1992
32	68	1995
33	70	1993
34	73	2022
35	75	2021
36	76	1988
37	78	1986
38	78	1946
39	80	1931
40	82	1929
41	84	1919
42	86	1914
43	87	1897
44	89	1888
45	90	1887
46	93	1887
47	95	1887
48	97	1886
49	99	1885
50	101	1885
51	103	1890
52	105	1885
53	107	1884
54	109	1880
55	111	1879
56	113	1878
57	114	1867
58	116	1864
59	118	1855
60	119	1841
61	121	1838
62	123	1831
63	125	1831
64	127	1828
65	129	1830
66	131	1830
67	133	1827
68	135	1824
69	136	1817
70	139	1819
71	141	1817
72	142	1808
73	144	1808
74	146	1801
75	148	1799
76	149	1792
77	151	1785
78	153	1784
79	155	1783
80	156	1781
81	159	1780
82	160	1775
83	162	1775
84	164	1768
85	165	1762
86	168	1764
87	170	1762
88	172	1764
89	174	1762
90	176	1761
91	179	1774
92	181	1773
93	183	1772
94	186	1777
95	188	1775
96	190	1773
97	192	1771
98	194	1772
99	197	1777
100	198	1770
101	200	1761
102	202	1767
103	204	1763
104	207	1768
105	209	1765
106	211	1768
107	213	1767
108	215	1762
109	218	1764
110	220	1762
111	222	1762
112	224	1759
113	227	1764
114	228	1760
115	230	1758
116	233	1761
117	234	1751
118	236	1750
119	238	1750
120	240	1748
121	242	1742
122	244	1742
123	246	1739
124	247	1732
125	249	1730
126	250	1722
127	252	1722
128	254	1720
129	256	1718
130	258	1716
131	260	1710
132	261	1706
133	263	1704
134	265	1698
135	267	1696
136	268	1694
137	270	1689
138	272	1687
139	274	1687
140	276	1686
141	278	1684
142	281	1685
143	283	1683
144	285	1681
145	286	1675
146	287	1669
147	288	1661
148	290	1660
149	292	1659
150	294	1657
151	296	1656
152	299	1659
153	300	1651
154	302	1648
155	304	1649
156	306	1647
157	308	1642
158	310	1642
159	312	1640
160	314	1639
161	316	1638
162	318	1636
163	320	1635
164	322	1631
165	323	1623
166	325	1622
167	327	1621
168	328	1615
169	329	1608
170	331	1606
171	333	1605
172	335	1605
173	337	1603
174	340	1603
175	343	1608
176	347	1616
177	350	1620
178	353	1622
179	356	1625
180	359	1624
181	361	1622
182	363	1621
183	365	1621
184	368	1621
185	370	1622
186	373	1622
187	375	1621
188	377	1619
189	379	1617
190	381	1617
191	383	1615
192	386	1614
193	387	1609
194	389	1607
195	390	1601
196	392	1600
197	394	1599
198	396	1595
199	398	1594
200	400	1593
201	401	1586
202	402	1581
203	404	1579
204	407	1578
205	408	1576
206	411	1574
207	412	1570
208	414	1568
209	415	1562
210	417	1560
211	419	1558
212	421	1555
213	421	1549
214	423	1546
215	425	1544
216	427	1542
217	429	1540
218	432	1542
219	433	1537
220	435	1535
221	436	1531
222	439	1529
223	440	1527
224	442	1525
225	444	1523
226	446	1521
227	448	1518
228	450	1517
229	453	1516
230	454	1513
231	456	1511
232	458	1509
233	460	1506
234	461	1503
235	463	1501
236	465	1499
237	467	1497
238	469	1495
239	472	1496
240	474	1494
241	475	1489
242	477	1487
243	479	1485
244	481	1484
245	483	1482
246	484	1477
247	486	1475
248	488	1473
249	489	1469
250	491	1467
251	493	1463
